movie_name,distributor,release_date,release_year,total_audience,log_total_audience,detail_url,genre,runtime_minutes,is_domestic,language,rating
Nadide Hayat,CGV Mars,18 Aralık 2015,2015,784305,13.572553254292002,https://boxofficeturkiye.com/film/nadide-hayat--2012842,Komedi,118,1,Turkish,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Delibal,WB,25 Aralık 2015,2015,1465092,14.197428597096366,https://boxofficeturkiye.com/film/delibal--2012793,"Dram, Romantik",117,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Ant-Man,UIP,17 Temmuz 2015,2015,427204,12.965016929880166,https://boxofficeturkiye.com/film/ant-man--2011597,"Macera, Aksiyon, 3 Boyutlu",117,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
8 Saniye,WB,27 Şubat 2015,2015,421070,12.950554369626913,https://boxofficeturkiye.com/film/8-saniye--2012423,Dram,120,1,Turkish,13 yaş ve üzeri izleyici kitlesi içindir.
Son Cadı Avcısı,TME,23 Ekim 2015,2015,411018,12.926392288139809,https://boxofficeturkiye.com/film/son-cadi-avcisi--2012536,"Fantastik, Aksiyon",106,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Köstebekgiller: Perili Orman,WB,23 Ocak 2015,2015,409407,12.92246505025563,https://boxofficeturkiye.com/film/kostebekgiller-perili-orman--2012360,Aile,85,1,Turkish,Genel İzleyici Kitlesi.
Mad Max: Fury Road,WB,15 Mayıs 2015,2015,409042,12.921573119239287,https://boxofficeturkiye.com/film/mad-max-fury-road--2012077,"Macera, Bilim-Kurgu, Aksiyon",120,0,Foreign,15 yaş ve üzeri izleyici kitlesi içindir.
İçimdeki Ses,Pin.,30 Ocak 2015,2015,403641,12.908281148030554,https://boxofficeturkiye.com/film/icimdeki-ses--2012167,Komedi,93,1,Turkish,7 yaş ve üzeri izleyici kitlesi içindir.
Sünger Bob Kare Pantolon 3D,UIP,6 Şubat 2015,2015,364853,12.807249811717176,https://boxofficeturkiye.com/film/sunger-bob-kare-pantolon-3d--2011941,"Animasyon, 3 Boyutlu",92,0,Foreign,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Fantastik Dörtlü,TME,7 Ağustos 2015,2015,351708,12.770556564862456,https://boxofficeturkiye.com/film/fantastik-dortlu--2011825,"Macera, Fantastik, Aksiyon",100,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
San Andreas Fayı,WB,29 Mayıs 2015,2015,337835,12.730312889593025,https://boxofficeturkiye.com/film/san-andreas-fayi--2012076,"Aksiyon, 3 Boyutlu",114,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Küçük Prens,CGV Mars,23 Eylül 2015,2015,331201,12.710480720812354,https://boxofficeturkiye.com/film/kucuk-prens--2012530,Animasyon,108,0,Foreign,Genel İzleyici Kitlesi.
Uyumsuz Serisi: Kuralsız,TME,20 Mart 2015,2015,320843,12.6787071858922,https://boxofficeturkiye.com/film/uyumsuz-serisi-kuralsiz--2012417,"Macera, Bilim-Kurgu, Aksiyon, 3 Boyutlu",119,0,Foreign,13 yaş ve üzeri izleyici kitlesi içindir.
Kod Adı: K.O.Z.,CGV Mars,13 Şubat 2015,2015,313361,12.655111159552389,https://boxofficeturkiye.com/film/kod-adi-k-o-z--2012513,Macera,114,1,Turkish,7 yaş altı izleyici kitlesi aile eşliğinde izleyebilir.
Senden Bana Kalan,CGV Mars,17 Nisan 2015,2015,289778,12.576870391563332,https://boxofficeturkiye.com/film/senden-bana-kalan--2012611,"Dram, Romantik",117,1,Turkish,Genel İzleyici Kitlesi.
Siccin 2,TME,10 Temmuz 2015,2015,289327,12.57531281533388,https://boxofficeturkiye.com/film/siccin-2--2012605,"Korku, Gerilim",94,1,Turkish,18 yaş ve üzeri izleyici kitlesi içindir.
Çılgın Dersane: Ada,TME,16 Ocak 2015,2015,278233,12.53621417113478,https://boxofficeturkiye.com/film/cilgin-dersane-ada--2012459,Komedi,0,1,Turkish,Genel İzleyici Kitlesi.
Sindirella,UIP,13 Mart 2015,2015,269272,12.503477300130076,https://boxofficeturkiye.com/film/sindirella--2011981,"Aile, Fantastik, Dram",105,0,Foreign,Genel İzleyici Kitlesi.
Yok Artık!,Bir Film,25 Eylül 2015,2015,269165,12.503079853441204,https://boxofficeturkiye.com/film/yok-artik--2012822,Komedi,99,1,Turkish,Genel İzleyici Kitlesi.
Güvercin Uçuverdi,CGV Mars,27 Mart 2015,2015,228622,12.339825263682524,https://boxofficeturkiye.com/film/guvercin-ucuverdi--2012351,Komedi,89,1,Turkish,Genel İzleyici Kitlesi.
Taşıyıcı: Son Hız,TME,4 Eylül 2015,2015,227531,12.335041771826344,https://boxofficeturkiye.com/film/tasiyici-son-hiz--2012369,Aksiyon,96,0,Foreign,7 yaş ve üzeri izleyici kitlesi içindir.
